Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XR_011842505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842503.1	0	0	0.379037	0	0	0	0.258507	0	0	0	0.198567	0	0.041439	0	0.228236
XR_011842491.1	0	0.294922	0	0.209104	0	0	0	0	0	0	0.966364	0.583604	0	0.285325	0
XR_011842489.1	3.03464	3.89264	2.60777	1.50672	3.18457	2.54562	3.02665	0.39008	0	3.15802	4.21313	4.72188	3.38888	3.24169	1.78637
XR_011842488.1	0	0	0	0	0.080884	0.075439	0.161168	0	0.157074	0	0.090493	0	0	0.053075	0
XR_011842486.1	0.513683	0.65934	1.17192	0.533077	0.204111	0.624819	1.19856	0	0	0.111921	0.302904	0.104569	0.285966	0	0.632236
XR_011842479.1	10.9235	7.6365	7.73338	6.6285	6.64159	8.53076	10.4023	11.857	7.13646	9.67796	9.89952	9.26515	9.98901	8.59914	9.04451
XR_011842478.1	12.4727	6.07746	8.2507	4.1054	9.44337	8.88708	10.9482	11.143	6.8083	5.47882	12.5005	6.26975	10.2864	8.99738	8.71744
XR_011842477.1	0.629753	0.23763	0.495621	0.488595	1.30924	0	1.05643	0.232535	0.261483	0	1.01806	0.254151	0	0.8947	0.91205
XR_011842476.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842474.1	0	0.057707	0.061855	0	0	0	0	0.395606	0	0	0	0.063233	0.127659	0.054221	0
XR_011842473.1	6277.17	6755.53	5319.59	2429.26	4368.27	4231.13	2430.86	2611.34	2113.95	9140.2	3076.99	2973.36	2530.58	2015.96	2880.27
XR_011842472.1	0	1.14656	0.726791	0	0	0	0.533755	0.604886	1.68379	0	0.199689	0.69484	0	0	0
XR_011842464.1	0	0	0	0.355973	0.063018	0.224491	0.024397	0	0	0	0	0.024705	0.027838	0	0.060229
XR_011842458.1	0.022197	0.029071	0	0	0.0091	0.036446	0.031295	0	0.021571	0.027322	0	0	0.021767	0.009131	0
XR_011842455.1	0	0	0.184386	0.138301	0	0	0.202172	0	0.220297	0.400547	0	0.588992	0	0	0
XR_011842454.1	0.214711	0.408887	0	0	0.184964	0.274357	0.119756	0.241806	0	0.284147	0.332048	0.120598	0.303645	0.254288	0.245397
XR_011842445.1	0.278876	0.252015	0.073713	0.039258	0.068647	0.143974	0.580947	0.491822	0.278736	0.088091	0.276996	0.121071	0.197009	0.245838	0.148385
XR_011842440.1	0.643698	0.409693	0.204248	0.692398	0.314641	0.281578	0.488148	0.673168	0.509069	0.196591	0.119683	0.510998	1.00409	0.913318	0.456115
XR_011842438.1	0.125481	0	0.26747	0.037883	0.099425	0	0	0.277304	0.394345	0.202101	0.052016	0.23391	0.078997	0.1668	0.237649
XR_011842436.1	16.3218	14.5153	14.1488	11.8368	15.1642	12.1993	11.4949	16.2938	12.4773	17.8419	17.2884	15.0728	16.1487	15.7046	12.3328
XR_011842435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842432.1	5.20784	3.10348	3.37894	1.7167	4.34775	3.59708	5.19929	7.56087	1.71782	2.12134	3.25426	3.11616	5.13863	2.53282	3.4202
XR_011842431.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842426.1	0	0.020138	0	0	0	0	0	0	0.025574	0	0	0	0	0	0
XR_011842423.1	0	0	0	0	0	0	0	0	0	0	0.016699	0	0	0	0
XR_011842412.1	73.2232	54.1071	64.4488	55.1485	58.9982	80.3861	57.4196	60.6158	49.9889	76.5017	84.0563	69.8001	88.3712	62.0102	73.4194
XR_011842408.1	12.1742	10.7539	11.6951	7.6947	11.6463	11.9557	11.0614	14.5086	11.3261	12.8491	12.705	12.3206	12.9529	12.5108	13.0188
XR_011842407.1	0.57693	1.48344	0.201397	0.395812	0.593085	0.761498	0.175891	0.780345	0.272545	0	0.296531	0.545669	0.637963	0.497725	0.369736
XR_011842406.1	2.53965	2.97588	2.79115	2.96635	2.4821	3.49798	2.7948	2.59213	1.98184	3.26043	1.19299	2.31611	4.05042	2.18313	1.7547
XR_011842403.1	0.473336	1.00534	0.615648	0.462968	0.575537	0.637145	0.372697	0.443377	0.60182	1.00251	0.959019	0.637933	0.594841	0.533947	0.391674
XR_011842395.1	4.48495	8.45081	6.86152	7.85246	9.70612	10.9915	5.88846	6.15653	3.3424	5.76157	7.52525	7.67862	6.64287	2.90437	2.75376
