Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XR_011842505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842503.1	0	0	59.554	0	0	0	41.132	0	0	0	22.989	0	6.292	0	28.941
XR_011842491.1	0	69.381	0	45.821	0	0	0	0	0	0	154.099	124.21	0	71.213	0
XR_011842489.1	449.695	657.91	405.588	237.272	572.72	343.004	476.681	67.664	0	379.196	482.827	722.225	509.357	581.341	224.222
XR_011842488.1	0	0	0	0	14.936	10.437	26.068	0	24.488	0	10.649	0	0	9.773	0
XR_011842486.1	79.936	116.985	191.327	88.121	38.533	88.377	198.209	0	0	14.109	36.439	16.79	45.117	0	83.304
XR_011842479.1	2210.06	1759.13	1638.56	1422.32	1627.46	1566.3	2235.85	2803.7	1476.69	1584.86	1545.8	1930.94	2045.24	2101.6	1546.9
XR_011842478.1	434.815	246.731	309.957	155.768	409.431	288.406	407.783	463.401	248.487	156.817	345.327	231.13	373.663	388.062	263.624
XR_011842477.1	1	1	2	2	6	0	4.087	1	1	0	3	1	0	4	3
XR_011842476.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842474.1	0	1	1	0	0	0	0	7	0	0	0	1	2	1	0
XR_011842473.1	22234	42420.3	31728.1	14632.2	29762.8	21500	13865.9	16735.8	12047	39823.2	13425	17294.6	14665.8	13474.9	13925.8
XR_011842472.1	0	80.346	46.984	0	0	0	34.613	43.466	106.031	0	9.503	44.131	0	0	0
XR_011842464.1	0	0	0	14.831	3	8	1	0	0	0	0	1	1.11	0	2
XR_011842458.1	2	3	0	0	1	3	3	0	2	2	0	0	2	1	0
XR_011842455.1	0	0	22.3	16.932	0	0	24.713	0	25.998	37.355	0	70.039	0	0	0
XR_011842454.1	25.78	56.078	0	0	27	30.004	15.288	34.031	0	27.67	30.886	14.972	37.051	37.008	25
XR_011842445.1	46.907	48.309	13	7.011	14	22	103.832	96.766	47.997	12	35.998	21	33.576	50	21.121
XR_011842440.1	143.624	104.033	47.699	163.764	84.983	56.986	115.696	175.472	116.114	35.494	20.599	117.385	226.593	246.045	85.987
XR_011842438.1	3	0	7	1	3	0	0	8.001	10	4	1	6	2	5	5
XR_011842436.1	569	589.29	531.533	449.116	657.466	395.895	428.147	677.609	455.393	510.68	477.593	555.649	586.614	677.349	372.955
XR_011842435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842432.1	224.884	155.253	156.202	80.2	232.068	143.745	239.549	387.632	77.241	74.961	110.678	141.43	229.665	134.568	127.353
XR_011842431.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011842426.1	0	2.987	0	0	0	0	0	0	3.407	0	0	0	0	0	0
XR_011842423.1	0	0	0	0	0	0	0	0	0	0	1.476	0	0	0	0
XR_011842412.1	7515.33	6351.98	6967.89	6034.82	7373.68	7526.25	6267.92	7301.44	5272.37	6373.71	6694.28	7419.07	9233.84	7725.58	6403.72
XR_011842408.1	1540.57	1553.81	1555.47	1036.06	1790.91	1377.37	1488.08	2151.27	1470.15	1318.41	1244.96	1611.31	1664.9	1918.15	1397.19
