Dataset  order,Sepal length,Sepal  width,Petal length,Petal width,Species
1,5.1,3.5,1.4,0.2,L. setosa
2,4.9,3,1.4,0.2,L. setosa
3,4.7,3.2,1.3,0.2,L. setosa
4,4.6,3.1,1.5,0.2,L. setosa
5,5,3.6,1.4,0.3,L. setosa
6,5.4,3.9,1.7,0.4,L. setosa
7,4.6,3.4,1.4,0.3,L. setosa
8,5,3.4,1.5,0.2,L. setosa
9,4.4,2.9,1.4,0.2,L. setosa
10,4.9,3.1,1.5,0.1,L. setosa
11,5.4,3.7,1.5,0.2,L. setosa
12,4.8,3.4,1.6,0.2,L. setosa
13,4.8,3,1.4,0.1,L. setosa
14,4.3,3,1.1,0.1,L. setosa
15,5.8,4,1.2,0.2,L. setosa
16,5.7,4.4,1.5,0.4,L. setosa
17,5.4,3.9,1.3,0.4,L. setosa
18,5.1,3.5,1.4,0.3,L. setosa
19,5.7,3.8,1.7,0.3,L. setosa
20,5.1,3.8,1.5,0.3,L. setosa
21,5.4,3.4,1.7,0.2,L. setosa
22,5.1,3.7,1.5,0.4,L. setosa
23,4.6,3.6,1,0.2,L. setosa
24,5.1,3.3,1.7,0.5,L. setosa
25,4.8,3.4,1.9,0.2,L. setosa
26,5,3,1.6,0.2,L. setosa
27,5,3.4,1.6,0.4,L. setosa
28,5.2,3.5,1.5,0.2,L. setosa
29,5.2,3.4,1.4,0.2,L. setosa
30,4.7,3.2,1.6,0.2,L. setosa
31,4.8,3.1,1.6,0.2,L. setosa
32,5.4,3.4,1.5,0.4,L. setosa
33,5.2,4.1,1.5,0.1,L. setosa
34,5.5,4.2,1.4,0.2,L. setosa
35,4.9,3.1,1.5,0.2,L. setosa
36,5,3.2,1.2,0.2,L. setosa
37,5.5,3.5,1.3,0.2,L. setosa
38,4.9,3.6,1.4,0.1,L. setosa
39,4.4,3,1.3,0.2,L. setosa
40,5.1,3.4,1.5,0.2,L. setosa
41,5,3.5,1.3,0.3,L. setosa
42,4.5,2.3,1.3,0.3,L. setosa
43,4.4,3.2,1.3,0.2,L. setosa
44,5,3.5,1.6,0.6,L. setosa
45,5.1,3.8,1.9,0.4,L. setosa
46,4.8,3,1.4,0.3,L. setosa
47,5.1,3.8,1.6,0.2,L. setosa
48,4.6,3.2,1.4,0.2,L. setosa
49,5.3,3.7,1.5,0.2,L. setosa
50,5,3.3,1.4,0.2,L. setosa
51,7,3.2,4.7,1.4,L. versicolor
52,6.4,3.2,4.5,1.5,L. versicolor
53,6.9,3.1,4.9,1.5,L. versicolor
54,5.5,2.3,4,1.3,L. versicolor
55,6.5,2.8,4.6,1.5,L. versicolor
56,5.7,2.8,4.5,1.3,L. versicolor
57,6.3,3.3,4.7,1.6,L. versicolor
58,4.9,2.4,3.3,1,L. versicolor
59,6.6,2.9,4.6,1.3,L. versicolor
60,5.2,2.7,3.9,1.4,L. versicolor
61,5,2,3.5,1,L. versicolor
62,5.9,3,4.2,1.5,L. versicolor
63,6,2.2,4,1,L. versicolor
64,6.1,2.9,4.7,1.4,L. versicolor
65,5.6,2.9,3.6,1.3,L. versicolor
66,6.7,3.1,4.4,1.4,L. versicolor
67,5.6,3,4.5,1.5,L. versicolor
68,5.8,2.7,4.1,1,L. versicolor
69,6.2,2.2,4.5,1.5,L. versicolor
70,5.6,2.5,3.9,1.1,L. versicolor
71,5.9,3.2,4.8,1.8,L. versicolor
72,6.1,2.8,4,1.3,L. versicolor
73,6.3,2.5,4.9,1.5,L. versicolor
74,6.1,2.8,4.7,1.2,L. versicolor
75,6.4,2.9,4.3,1.3,L. versicolor
76,6.6,3,4.4,1.4,L. versicolor
77,6.8,2.8,4.8,1.4,L. versicolor
78,6.7,3,5,1.7,L. versicolor
79,6,2.9,4.5,1.5,L. versicolor
80,5.7,2.6,3.5,1,L. versicolor
81,5.5,2.4,3.8,1.1,L. versicolor
82,5.5,2.4,3.7,1,L. versicolor
83,5.8,2.7,3.9,1.2,L. versicolor
84,6,2.7,5.1,1.6,L. versicolor
85,5.4,3,4.5,1.5,L. versicolor
86,6,3.4,4.5,1.6,L. versicolor
87,6.7,3.1,4.7,1.5,L. versicolor
